time,value
2.2770947E+01,1.77441E+00
2.2771130E+01,1.76465E+00
2.2771314E+01,1.71582E+00
2.2771497E+01,1.84277E+00
2.2771680E+01,1.78418E+00
2.2771864E+01,1.81348E+00
2.2772047E+01,1.73535E+00
2.2772230E+01,1.78418E+00
2.2772413E+01,1.75488E+00
2.2772597E+01,1.77441E+00
2.2772780E+01,1.77441E+00
2.2772963E+01,1.79395E+00
2.2773147E+01,1.79395E+00
2.2773330E+01,1.73535E+00
2.2773513E+01,1.77441E+00
2.2773697E+01,1.81348E+00
2.2773880E+01,1.77441E+00
2.2774063E+01,1.79395E+00
2.2774246E+01,1.73535E+00
2.2774430E+01,1.74512E+00
2.2774613E+01,1.75488E+00
2.2774796E+01,1.80371E+00
2.2774980E+01,1.75488E+00
2.2775163E+01,1.77441E+00
2.2775346E+01,1.66699E+00
2.2775530E+01,1.79395E+00
2.2775713E+01,1.73535E+00
2.2775896E+01,1.74512E+00
2.2776079E+01,1.83301E+00
2.2776263E+01,1.73535E+00
2.2776446E+01,1.77441E+00
2.2776629E+01,1.75488E+00
2.2776813E+01,1.70605E+00
2.2776996E+01,1.79395E+00
2.2777179E+01,1.75488E+00
2.2777363E+01,1.79395E+00
2.2777546E+01,1.79395E+00
2.2777729E+01,1.80371E+00
2.2777912E+01,1.77441E+00
2.2778096E+01,1.78418E+00
2.2778279E+01,1.78418E+00
2.2778462E+01,1.78418E+00
2.2778646E+01,1.70605E+00
2.2778829E+01,1.78418E+00
2.2779012E+01,1.81348E+00
2.2779196E+01,1.76465E+00
2.2779379E+01,1.80371E+00
2.2779562E+01,1.75488E+00
2.2779745E+01,1.73535E+00
2.2779929E+01,1.74512E+00
2.2780112E+01,1.77441E+00
2.2780295E+01,1.72559E+00
2.2780479E+01,1.74512E+00
2.2780662E+01,1.77441E+00
2.2780845E+01,1.78418E+00
2.2781029E+01,1.79395E+00
2.2781212E+01,1.75488E+00
2.2781395E+01,1.80371E+00
2.2781578E+01,1.75488E+00
2.2781762E+01,1.76465E+00
2.2781945E+01,1.77441E+00
2.2782128E+01,1.79395E+00
2.2782312E+01,1.72559E+00
2.2782495E+01,1.77441E+00
2.2782678E+01,1.77441E+00
2.2782862E+01,1.77441E+00
2.2783045E+01,1.83301E+00
2.2783228E+01,1.73535E+00
2.2783411E+01,1.75488E+00
2.2783595E+01,1.77441E+00
2.2783778E+01,1.76465E+00
2.2783961E+01,1.72559E+00
2.2784145E+01,1.81348E+00
2.2784328E+01,1.76465E+00
2.2784511E+01,1.74512E+00
2.2784695E+01,1.81348E+00
2.2784878E+01,1.65723E+00
2.2785061E+01,1.77441E+00
2.2785244E+01,1.79395E+00
2.2785428E+01,1.77441E+00
2.2785611E+01,1.73535E+00
2.2785794E+01,1.76465E+00
2.2785978E+01,1.80371E+00
2.2786161E+01,1.75488E+00
2.2786344E+01,1.77441E+00
2.2786528E+01,1.77441E+00
2.2786711E+01,1.72559E+00
2.2786894E+01,1.77441E+00
2.2787077E+01,1.74512E+00
2.2787261E+01,1.83301E+00
2.2787444E+01,1.70605E+00
2.2787627E+01,1.72559E+00
2.2787811E+01,1.74512E+00
2.2787994E+01,1.77441E+00
2.2788177E+01,1.76465E+00
2.2788361E+01,1.81348E+00
2.2788544E+01,1.75488E+00
2.2788727E+01,1.80371E+00
2.2788910E+01,1.72559E+00
2.2789094E+01,1.73535E+00
2.2789277E+01,1.75488E+00
2.2789460E+01,1.77441E+00
2.2789644E+01,1.82324E+00
2.2789827E+01,1.80371E+00
2.2790010E+01,1.73535E+00
2.2790194E+01,1.79395E+00
2.2790377E+01,1.74512E+00
2.2790560E+01,1.79395E+00
2.2790743E+01,1.83301E+00
2.2790927E+01,1.77441E+00
2.2791110E+01,1.77441E+00
2.2791293E+01,1.79395E+00
2.2791477E+01,1.76465E+00
2.2791660E+01,1.79395E+00
2.2791843E+01,1.75488E+00
2.2792027E+01,1.71582E+00
2.2792210E+01,1.78418E+00
2.2792393E+01,1.75488E+00
2.2792576E+01,1.73535E+00
2.2792760E+01,1.78418E+00
2.2792943E+01,1.76465E+00
2.2793126E+01,1.71582E+00
2.2793310E+01,1.74512E+00
2.2793493E+01,1.77441E+00
2.2793676E+01,1.71582E+00
2.2793860E+01,1.69629E+00
2.2794043E+01,1.72559E+00
2.2794226E+01,1.74512E+00
2.2794409E+01,1.70605E+00
2.2794593E+01,1.76465E+00
2.2794776E+01,1.80371E+00
2.2794959E+01,1.76465E+00
2.2795143E+01,1.75488E+00
2.2795326E+01,1.79395E+00
2.2795509E+01,1.73535E+00
2.2795693E+01,1.78418E+00
2.2795876E+01,1.74512E+00
2.2796059E+01,1.69629E+00
2.2796242E+01,1.77441E+00
2.2796426E+01,1.77441E+00
2.2796609E+01,1.75488E+00
2.2796792E+01,1.78418E+00
