time,C2
-4.9628370E+00,5.02930E-01
-4.9626534E+00,4.93164E-01
-4.9624698E+00,5.28320E-01
-4.9622862E+00,5.14648E-01
-4.9621026E+00,5.14648E-01
-4.9619190E+00,4.99023E-01
-4.9617354E+00,5.04883E-01
-4.9615518E+00,5.04883E-01
-4.9613682E+00,5.12695E-01
-4.9611846E+00,5.06836E-01
-4.9610010E+00,5.08789E-01
-4.9608174E+00,5.04883E-01
-4.9606338E+00,5.08789E-01
-4.9604502E+00,5.04883E-01
-4.9602666E+00,5.02930E-01
-4.9600830E+00,5.06836E-01
-4.9598994E+00,5.04883E-01
-4.9597158E+00,5.06836E-01
-4.9595322E+00,5.12695E-01
-4.9593486E+00,5.02930E-01
-4.9591650E+00,5.20508E-01
-4.9589814E+00,5.00977E-01
-4.9587978E+00,5.10742E-01
-4.9586142E+00,4.91211E-01
-4.9584306E+00,5.06836E-01
-4.9582470E+00,5.12695E-01
-4.9580634E+00,5.06836E-01
-4.9578798E+00,5.04883E-01
-4.9576962E+00,4.97070E-01
-4.9575126E+00,5.06836E-01
-4.9573290E+00,5.22461E-01
-4.9571454E+00,5.06836E-01
-4.9569618E+00,5.18555E-01
-4.9567782E+00,5.10742E-01
-4.9565946E+00,5.12695E-01
-4.9564110E+00,5.12695E-01
-4.9562274E+00,5.12695E-01
-4.9560438E+00,5.04883E-01
-4.9558602E+00,5.08789E-01
-4.9556766E+00,5.00977E-01
-4.9554930E+00,5.10742E-01
-4.9553094E+00,5.06836E-01
-4.9551258E+00,5.04883E-01
-4.9549422E+00,4.99023E-01
-4.9547586E+00,5.12695E-01
-4.9545750E+00,5.00977E-01
-4.9543914E+00,5.16602E-01
-4.9542078E+00,4.95117E-01
-4.9540242E+00,5.08789E-01
-4.9538406E+00,5.06836E-01
-4.9536570E+00,5.10742E-01
-4.9534734E+00,5.02930E-01
-4.9532898E+00,4.95117E-01
-4.9531062E+00,5.00977E-01
-4.9529226E+00,5.04883E-01
-4.9527390E+00,5.00977E-01
-4.9525554E+00,4.99023E-01
-4.9523718E+00,4.99023E-01
-4.9521882E+00,4.95117E-01
-4.9520046E+00,4.91211E-01
-4.9518210E+00,4.93164E-01
-4.9516374E+00,5.04883E-01
-4.9514538E+00,5.14648E-01
-4.9512702E+00,4.95117E-01
-4.9510866E+00,5.08789E-01
-4.9509030E+00,4.97070E-01
-4.9507194E+00,4.99023E-01
-4.9505358E+00,5.10742E-01
-4.9503522E+00,5.16602E-01
-4.9501686E+00,5.06836E-01
-4.9499850E+00,5.10742E-01
-4.9498014E+00,5.12695E-01
-4.9496178E+00,5.08789E-01
-4.9494342E+00,5.04883E-01
-4.9492506E+00,5.04883E-01
-4.9490670E+00,5.10742E-01
-4.9488834E+00,5.02930E-01
-4.9486998E+00,5.14648E-01
-4.9485162E+00,5.14648E-01
-4.9483326E+00,5.12695E-01
-4.9481490E+00,5.14648E-01
-4.9479654E+00,5.14648E-01
-4.9477818E+00,5.04883E-01
-4.9475982E+00,5.16602E-01
-4.9474146E+00,4.91211E-01
-4.9472310E+00,5.08789E-01
-4.9470474E+00,4.97070E-01
-4.9468638E+00,5.12695E-01
-4.9466802E+00,5.12695E-01
-4.9464966E+00,5.06836E-01
-4.9463130E+00,5.02930E-01
-4.9461294E+00,5.16602E-01
-4.9459458E+00,5.00977E-01
-4.9457622E+00,4.99023E-01
-4.9455786E+00,5.06836E-01
-4.9453950E+00,5.10742E-01
-4.9452114E+00,5.06836E-01
-4.9450278E+00,5.04883E-01
-4.9448442E+00,4.91211E-01
-4.9446606E+00,5.08789E-01
-4.9444770E+00,5.06836E-01
-4.9442934E+00,5.12695E-01
-4.9441098E+00,5.12695E-01
-4.9439262E+00,5.10742E-01
-4.9437426E+00,5.06836E-01
-4.9435590E+00,5.16602E-01
-4.9433754E+00,5.04883E-01
-4.9431918E+00,5.00977E-01
-4.9430082E+00,5.02930E-01
-4.9428246E+00,5.04883E-01
-4.9426410E+00,5.22461E-01
-4.9424574E+00,5.02930E-01
-4.9422738E+00,5.12695E-01
-4.9420902E+00,5.12695E-01
-4.9419066E+00,5.14648E-01
-4.9417230E+00,4.99023E-01
-4.9415394E+00,5.22461E-01
-4.9413558E+00,5.04883E-01
-4.9411722E+00,5.14648E-01
-4.9409886E+00,5.00977E-01
-4.9408050E+00,5.02930E-01
-4.9406214E+00,5.26367E-01
-4.9404378E+00,4.99023E-01
-4.9402542E+00,5.00977E-01
-4.9400706E+00,5.18555E-01
-4.9398870E+00,5.10742E-01
-4.9397034E+00,5.04883E-01
-4.9395198E+00,5.10742E-01
-4.9393362E+00,5.10742E-01
-4.9391526E+00,5.12695E-01
-4.9389690E+00,5.02930E-01
-4.9387854E+00,5.18555E-01
-4.9386018E+00,4.97070E-01
-4.9384182E+00,5.10742E-01
-4.9382346E+00,5.20508E-01
-4.9380510E+00,5.10742E-01
-4.9378674E+00,5.08789E-01
-4.9376838E+00,5.02930E-01
-4.9375002E+00,5.00977E-01
-4.9373166E+00,5.04883E-01
-4.9371330E+00,5.06836E-01
-4.9369494E+00,5.12695E-01
-4.9367658E+00,5.04883E-01
-4.9365822E+00,5.10742E-01
-4.9363986E+00,5.08789E-01
-4.9362150E+00,5.18555E-01
-4.9360314E+00,5.12695E-01
-4.9358478E+00,5.20508E-01
-4.9356642E+00,5.14648E-01
-4.9354806E+00,5.06836E-01
-4.9352970E+00,5.14648E-01
-4.9351134E+00,4.99023E-01
-4.9349298E+00,5.18555E-01
-4.9347462E+00,4.97070E-01
-4.9345626E+00,5.12695E-01
-4.9343790E+00,4.99023E-01
-4.9341954E+00,5.06836E-01
